level,title,type,description,source_id,degree,human_readable_id,id,size,graph_embedding,community,entity_type,top_level_node_id,x,y
0,IO_SAP,TECHNICAL_TERM,"An IO control path interface that handles hardware I/O control, such as control pilot duty cycle and the control pilot wire",709bb69a81ecc1f51a9d4420b7de6772,1,0,c1c991eb4a97411eb3d036a31cac6f2f,1,,,,c1c991eb4a97411eb3d036a31cac6f2f,0,0
0,INTER_SYSTEM_PROTOCOL,TECHNICAL_TERM,"A protocol that enables various broadband power line systems to share communication resources in time, frequency, or both",709bb69a81ecc1f51a9d4420b7de6772,1,1,5d50bcf3d46d4778ae9c02df373727a7,1,,,,5d50bcf3d46d4778ae9c02df373727a7,0,0
0,LOGICAL_NETWORK,TECHNICAL_TERM,"LOGICAL_NETWORK is a network designed to enhance communication by utilizing low-layer communication technology. It comprises a set of low-layer communication stations that share the same network key, enabling encrypted data exchange and ensuring visibility among its members. This structure facilitates secure and efficient communication within the network.","709bb69a81ecc1f51a9d4420b7de6772,96fddbf4556ae84fd85ddd36d66bb9f0",4,2,91741f0c9864419ba6de55093a830cf0,4,,1,,91741f0c9864419ba6de55093a830cf0,0,0
0,LOW-LAYER_COMMUNICATION,TECHNICAL_TERM,Functions managed by the OSI layer 1 and layer 2 of the modem,709bb69a81ecc1f51a9d4420b7de6772,2,3,9b605578a3884c1dbe05bcf63f7044f5,2,,,,9b605578a3884c1dbe05bcf63f7044f5,0,0
0,LOW-LAYER_COMMUNICATION_MODULE,TECHNICAL_TERM,"The LOW-LAYER_COMMUNICATION_MODULE is a functional assembly situated behind each socket outlet or connector. It includes the communication node and connection coordination functionality, making it responsible for low-layer communication and managing the logical network. This module plays a crucial role in ensuring seamless communication and coordination within the network infrastructure.","709bb69a81ecc1f51a9d4420b7de6772,96fddbf4556ae84fd85ddd36d66bb9f0",2,4,bc91ac78fd434239b5c69ab16dac33f2,2,,1,,bc91ac78fd434239b5c69ab16dac33f2,0,0
0,MAC_ADDRESS,TECHNICAL_TERM,A unique identifier assigned to network interfaces for communication on the data link layer,709bb69a81ecc1f51a9d4420b7de6772,0,5,67be291547ee4f52be4f562b41b7fb73,0,,,,67be291547ee4f52be4f562b41b7fb73,0,0
0,MANAGEMENT_MESSAGE_ENTRY,TECHNICAL_TERM,Messages exchanged between PLC nodes or between a PLC node and higher layers for control purposes,709bb69a81ecc1f51a9d4420b7de6772,0,6,29fdf7c0787b491cab5e2e457bf720af,0,,,,29fdf7c0787b491cab5e2e457bf720af,0,0
0,MATCHING,TECHNICAL_TERM,"The process to determine the low-layer communication modules of EV and EVSE, where EV is physically connected directly",709bb69a81ecc1f51a9d4420b7de6772,0,7,f717ac89952f46ce94f36e6924f0c6b2,0,,,,f717ac89952f46ce94f36e6924f0c6b2,0,0
0,NOMINAL_DUTY_CYCLE,TECHNICAL_TERM,"A control pilot duty cycle ranging from 10% to 96%, generated by the EVSE",709bb69a81ecc1f51a9d4420b7de6772,0,8,379326968ad34e9085fecf86cb71e5eb,0,,,,379326968ad34e9085fecf86cb71e5eb,0,0
0,PILOT_FUNCTION_CONTROLLER,TECHNICAL_TERM,A system that manages the control pilot line on the EVSE side,709bb69a81ecc1f51a9d4420b7de6772,0,9,4063bbdbcb7a4269a4c344ed19611361,0,,,,4063bbdbcb7a4269a4c344ed19611361,0,0
